"Labor Force and Unemployment Data"

"Geographic Area:","County"
"Area","All Subsets for Selected Georgraphy"
"Time Frame:","2020, 2019, 2018"
"Not Seasonally Adjusted"
"Area","Year","Month","Labor Force","Employed","Unemployed","Area Rate","Massachusetts Rate"
"SUFFOLK COUNTY","2020","August","468063","409511","58552","12.5","10.3"
"SUFFOLK COUNTY","2020","September","461748","406982","54766","11.9","9.8"
"SUFFOLK COUNTY","2020","October","458335","415826","42509","9.3","8.1"
"SUFFOLK COUNTY","2020","November","454675","416881","37794","8.3","7.6"
"SUFFOLK COUNTY","2020","December","452614","416927","35687","7.9","7.4"
"SUFFOLK COUNTY","2020","Annual","456198","409219","46979","10.3","9.4"
"SUFFOLK COUNTY","2019","January","460299","444984","15315","3.3","4.0"
"SUFFOLK COUNTY","2019","February","460899","447503","13396","2.9","3.6"
"SUFFOLK COUNTY","2019","March","461404","448461","12943","2.8","3.4"
"SUFFOLK COUNTY","2019","April","459337","448317","11020","2.4","2.8"
"SUFFOLK COUNTY","2019","May","459178","446500","12678","2.8","2.9"
"SUFFOLK COUNTY","2019","June","466525","452002","14523","3.1","3.2"
"SUFFOLK COUNTY","2019","July","467485","452526","14959","3.2","3.3"
"SUFFOLK COUNTY","2019","August","466332","453155","13177","2.8","3.0"
"SUFFOLK COUNTY","2019","September","458705","446326","12379","2.7","2.8"
"SUFFOLK COUNTY","2019","October","462056","450776","11280","2.4","2.6"
"SUFFOLK COUNTY","2019","November","462413","451705","10708","2.3","2.5"
"SUFFOLK COUNTY","2019","December","460901","450654","10247","2.2","2.6"
"SUFFOLK COUNTY","2019","Annual","462128","449409","12719","2.8","3.1"
"SUFFOLK COUNTY","2018","January","449368","433351","16017","3.6","4.3"
"SUFFOLK COUNTY","2018","February","453715","438268","15447","3.4","4.2"
"SUFFOLK COUNTY","2018","March","455378","440919","14459","3.2","3.8"
"SUFFOLK COUNTY","2018","April","455208","442391","12817","2.8","3.3"
"SUFFOLK COUNTY","2018","May","456425","442588","13837","3.0","3.3"
"SUFFOLK COUNTY","2018","June","463481","446378","17103","3.7","3.7"
"SUFFOLK COUNTY","2018","July","464828","448284","16544","3.6","3.7"
"SUFFOLK COUNTY","2018","August","460650","446079","14571","3.2","3.3"
"SUFFOLK COUNTY","2018","September","455520","441899","13621","3.0","3.2"
"SUFFOLK COUNTY","2018","October","458839","446303","12536","2.7","2.9"
"SUFFOLK COUNTY","2018","November","459599","447914","11685","2.5","2.8"
"SUFFOLK COUNTY","2018","December","459342","447507","11835","2.6","3.0"
"SUFFOLK COUNTY","2018","Annual","457696","443490","14206","3.1","3.4"
"WORCESTER COUNTY","2020","January","450641","433640","17001","3.8","3.5"
"WORCESTER COUNTY","2020","February","450386","434383","16003","3.6","3.3"
"WORCESTER COUNTY","2020","March","444872","428118","16754","3.8","3.6"
"WORCESTER COUNTY","2020","April","407030","340600","66430","16.3","16.7"
"WORCESTER COUNTY","2020","May","431748","366933","64815","15.0","15.6"
"WORCESTER COUNTY","2020","June","447111","384086","63025","14.1","14.5"
"WORCESTER COUNTY","2020","July","447370","389763","57607","12.9","13.0"
"WORCESTER COUNTY","2020","August","446914","401223","45691","10.2","10.3"
"WORCESTER COUNTY","2020","September","442275","399642","42633","9.6","9.8"
"WORCESTER COUNTY","2020","October","445804","409887","35917","8.1","8.1"
"WORCESTER COUNTY","2020","November","445775","411854","33921","7.6","7.6"
"WORCESTER COUNTY","2020","December","445415","412164","33251","7.5","7.4"
"WORCESTER COUNTY","2020","Annual","442111","401024","41087","9.3","9.4"
"WORCESTER COUNTY","2019","January","453637","434548","19089","4.2","4.0"
"WORCESTER COUNTY","2019","February","454421","436688","17733","3.9","3.6"
"WORCESTER COUNTY","2019","March","453629","436968","16661","3.7","3.4"
"WORCESTER COUNTY","2019","April","450356","436851","13505","3.0","2.8"
"WORCESTER COUNTY","2019","May","449659","435468","14191","3.2","2.9"
"WORCESTER COUNTY","2019","June","453218","437504","15714","3.5","3.2"
"WORCESTER COUNTY","2019","July","451195","434731","16464","3.6","3.3"
"WORCESTER COUNTY","2019","August","450439","435555","14884","3.3","3.0"
"WORCESTER COUNTY","2019","September","446740","433015","13725","3.1","2.8"
"WORCESTER COUNTY","2019","October","449690","437128","12562","2.8","2.6"
"WORCESTER COUNTY","2019","November","450848","438603","12245","2.7","2.5"
"WORCESTER COUNTY","2019","December","450896","437918","12978","2.9","2.6"
"WORCESTER COUNTY","2019","Annual","451227","436248","14979","3.3","3.1"
"WORCESTER COUNTY","2018","January","446047","426334","19713","4.4","4.3"
"WORCESTER COUNTY","2018","February","450175","430675","19500","4.3","4.2"
"WORCESTER COUNTY","2018","March","451472","433401","18071","4.0","3.8"
"WORCESTER COUNTY","2018","April","450138","434340","15798","3.5","3.3"
"WORCESTER COUNTY","2018","May","451162","435512","15650","3.5","3.3"
"WORCESTER COUNTY","2018","June","455156","437013","18143","4.0","3.7"
"WORCESTER COUNTY","2018","July","453410","435340","18070","4.0","3.7"
"WORCESTER COUNTY","2018","August","451036","434678","16358","3.6","3.3"
"WORCESTER COUNTY","2018","September","449285","434061","15224","3.4","3.2"
"WORCESTER COUNTY","2018","October","451598","437704","13894","3.1","2.9"
"WORCESTER COUNTY","2018","November","453742","440592","13150","2.9","2.8"
"WORCESTER COUNTY","2018","December","454523","439965","14558","3.2","3.0"
"WORCESTER COUNTY","2018","Annual","451479","434968","16511","3.7","3.4"

"The labor force estimates for towns with 2010 Census population of less than 1,000 were produced using the BLS methodology, but are not official BLS estimates."

"This workforce product was funded by a grant awarded by the U.S. Department of Labor's Employment and Training Administration. The product was created by the recipient and does not necessarily reflect the official position of the U.S. Department of Labor. The Department of Labor makes no guarantees, warranties, or assurances of any kind, express or implied, with respect to such information, including any information on linked sites and including, but not limited to, accuracy of the information or its completeness, timeliness, usefulness, adequacy, continued availability, or ownership. This product is copyrighted by the institution that created it. Internal use by an organization and/or personal use by an individual for non-commercial purposes is permissible. All other uses require the prior authorization of the copyright owner."
"The Federal Government reserves a paid-up, nonexclusive and irrevocable license to reproduce, publish or otherwise use, and to authorize others to use for federal purposes: i) the copyright in all products developed under the grant, including a subgrant or contract under the grant or subgrant; and ii) any rights of copyright to which the recipient, subrecipient or a contractor purchases ownership under an award (including but not limited to curricula, training models, technical assistance products, and any related materials). Such uses include, but are not limited to, the right to modify and distribute such products worldwide by any means, electronically or otherwise. Federal funds may not be used to pay any royalty or license fee for use of a copyrighted work, or the cost of acquiring by purchase a copyright in a work, where the Department has a license or rights of free use in such work, although they may be used to pay costs for obtaining a copy which is limited to the developer/seller costs of copying and shipping. If revenues are generated through selling products developed with grant funds, including intellectual property, these revenues are program income. Program income must be used in accordance with the provisions of this grant award and 2 CFR 200.307."
